Date,SP500TR_MonthlyAvg
2023-05,8886.12
2023-06,9329.26
2023-07,9689.22
2023-08,9591.72
2023-09,9503.00
2023-10,9211.80
2023-11,9635.88
2023-12,10138.70
2024-01,10408.32
2024-02,10870.00
2024-03,11230.41
2024-04,11114.95
2024-05,11394.58
2024-06,11802.44
2024-07,12082.08
2024-08,11964.25
2024-09,12293.54
2024-10,12680.12
2024-11,12993.65
2024-12,13188.68
2025-01,13133.26
2025-02,13275.44
2025-03,12512.49
2025-04,11832.32
2025-05,12818.21
2025-06,13319.31
2025-07,13921.36
2025-08,14182.64
2025-09,14589.51
2025-10,14938.08
2025-11,14962.32
2025-12,15230.23
2026-01,15414.57
2026-02,15348.47
2026-03,14834.26
2026-04,15522.80
2026-05,16552.21
2026-06,16656.10
2026-07,16781.79
